bottle_text,consumed,purchased,score,year,importer,producer,country,region,size,wine_type,grapes,cost,store,location,notes
"The Rare Wine Co.
Historic Series
Madiera
Boston Bual",2/1/2013,10/1/2012,7.0,NV,The Rare Wine Company,Vinos Barbeito,Portugal,Madeira,750ml,Dessert,100% Bual,$35.00,McArthur Wines,"Palisades, DC",
"2008
The Prince In His Caves
Farina Vineyards",3/1/2013,2/20/2013,9.5,2008,,Scholium Project,USA,"Fairfield, CA",750ml,Orange,100% Sauvignon Blanc,$38.00,Mazzaros,"St. Petersburg, FL",Cloudy yellow-orange. No tasting notes. Skin-fermented.
"Getariako Txakolina
Ametzoi
Rubentis",4/20/2013,4/19/2013,7.5,2012,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$21.00,Cordial Wines,"Union Market, DC",Pink Txakoli is one of the best things in the whole world.
"Wetzer
2009
Nagy-Somloi borvidek
Saghegyi Olaszrizling",4/27/2013,3/1/2013,7.5,2009,Williams Corner Wine,Peter Wetzer,Hungary,"Sopron
Sag-Hegy",750ml,Orange,"60% Olaszrizling
40% Gemischter satz",$25.00,McArthur Wines,"Palisades, DC","Pale yellow-green. Hay and wax on the nose. Almost sweet on the tongue, though with acid balance and strong tannins."
"2011 Viognier
Horton",5/3/2013,3/1/2013,5.5,2011,,Horton,USA,"Orange County, VA",750ml,White,100% Viognier,$17.00,McArthur Wines,"Palisades, DC","Golden yellow. Honeysuckle. A bit too sweet, unstructured and thin. No comparison to the Jefferson Viognier."
Catavela,5/6/2013,4/27/2013,7.5,2010,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,100% Malvasia,$16.00,McArthur Wines,"Palisades, DC","Bright orange. Smells strongly of fruit, but the taste is unmistakably tart and funky. Strong tannins."
"Moscato D'Asti
Seghesio
2011",5/11/2013,3/1/2013,5.5,2011,Grappoli Imports LTD,Seghesio,Italy,Alba,750ml,Sparkling,100% Moscato,$20.00,Cork Wine Store,"Logan Circle, DC","Perhaps overly sweet. Stone fruit and some acidity, though not enough. Single-note."
Dinavolino,5/11/2013,4/27/2013,8.5,2010,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$21.00,McArthur Wines,"Palisades, DC","Bright orange. Funky, tart and tannic. "
"Paolo Scavino
Langhe
Bianco
2010",5/12/2013,10/1/2012,7.0,2010,Banville and Jones Wine Merchants,Paolo Scavino,Italy,Langhe,750ml,White,100% Sauvignon Blanc,$25.00,McArthur Wines,"Palisades, DC","Straw to almost light green color. Very sweet nose, but crisp and properly acidic."
"Getariako Txakolina
Ametzoi
Rubentis",5/17/2013,5/17/2013,7.5,2012,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$20.00,Cork Wine Store,"Logan Circle, DC",Bright pink. Tart and tangy. Slightly effervescent. Nicely dry.
